date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:51:00	448/448	---M--	200	added ('OK')	text/plain	date:Fri,%2029%20Dec%202023%2019:20:59%20GMT	https://tusharm01.wixsite.com/robots.txt		(from )
00:51:00	1759870/1759870	---MCZ	200	added ('OK')	text/html	etag:W/%22e1a9974ffd59c0f7f04861ae85ee7f7f%22	https://tusharm01.wixsite.com/gadgetjunction	C:/My%20Web%20Sites/wix/tusharm01.wixsite.com/gadgetjunction.html	(from )
00:51:01	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/My%20Web%20Sites/wix/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://tusharm01.wixsite.com/gadgetjunction)
00:51:01	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/My%20Web%20Sites/wix/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://tusharm01.wixsite.com/gadgetjunction)
00:51:02	65591/65591	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2029%20Dec%202023%2019:21:01%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	C:/My%20Web%20Sites/wix/polyfill.io/v3/polyfill.mind82c.js	(from https://tusharm01.wixsite.com/gadgetjunction)
00:51:04	2999/2999	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2029%20Dec%202023%2019:21:02%20GMT	https://tusharm01.wixsite.com/	C:/My%20Web%20Sites/wix/tusharm01.wixsite.com/index.html	(from https://tusharm01.wixsite.com/gadgetjunction)
00:51:05	726220/726220	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Dec%202023%2019:21:03%20GMT	https://tusharm01.wixsite.com/gadgetjunction/about	C:/My%20Web%20Sites/wix/tusharm01.wixsite.com/gadgetjunction/about.html	(from https://tusharm01.wixsite.com/gadgetjunction)
00:51:07	683910/683910	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Dec%202023%2019:21:05%20GMT	https://tusharm01.wixsite.com/gadgetjunction/contact	C:/My%20Web%20Sites/wix/tusharm01.wixsite.com/gadgetjunction/contact.html	(from https://tusharm01.wixsite.com/gadgetjunction)
00:51:08	637016/637016	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Dec%202023%2019:21:06%20GMT	https://tusharm01.wixsite.com/gadgetjunction/help-center	C:/My%20Web%20Sites/wix/tusharm01.wixsite.com/gadgetjunction/help-center.html	(from https://tusharm01.wixsite.com/gadgetjunction)
00:51:11	1021437/1021437	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Dec%202023%2019:21:08%20GMT	https://tusharm01.wixsite.com/gadgetjunction/cart-page	C:/My%20Web%20Sites/wix/tusharm01.wixsite.com/gadgetjunction/cart-page.html	(from https://tusharm01.wixsite.com/gadgetjunction)
00:51:13	1315115/1315115	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Dec%202023%2019:21:10%20GMT	https://tusharm01.wixsite.com/gadgetjunction/shop-all	C:/My%20Web%20Sites/wix/tusharm01.wixsite.com/gadgetjunction/shop-all.html	(from https://tusharm01.wixsite.com/gadgetjunction)
00:51:15	1211831/1211831	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Dec%202023%2019:21:12%20GMT	https://tusharm01.wixsite.com/gadgetjunction/computers	C:/My%20Web%20Sites/wix/tusharm01.wixsite.com/gadgetjunction/computers.html	(from https://tusharm01.wixsite.com/gadgetjunction)
00:51:16	1211548/1211548	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Dec%202023%2019:21:14%20GMT	https://tusharm01.wixsite.com/gadgetjunction/tablets	C:/My%20Web%20Sites/wix/tusharm01.wixsite.com/gadgetjunction/tablets.html	(from https://tusharm01.wixsite.com/gadgetjunction)
00:51:25	1213051/1213051	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Dec%202023%2019:21:22%20GMT	https://tusharm01.wixsite.com/gadgetjunction/headphones	C:/My%20Web%20Sites/wix/tusharm01.wixsite.com/gadgetjunction/headphones.html	(from https://tusharm01.wixsite.com/gadgetjunction)
00:51:27	1214800/1214800	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Dec%202023%2019:21:24%20GMT	https://tusharm01.wixsite.com/gadgetjunction/speakers-1	C:/My%20Web%20Sites/wix/tusharm01.wixsite.com/gadgetjunction/speakers-1.html	(from https://tusharm01.wixsite.com/gadgetjunction)
00:51:29	1212934/1212934	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Dec%202023%2019:21:26%20GMT	https://tusharm01.wixsite.com/gadgetjunction/mobile	C:/My%20Web%20Sites/wix/tusharm01.wixsite.com/gadgetjunction/mobile.html	(from https://tusharm01.wixsite.com/gadgetjunction)
00:51:31	1212671/1212671	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Dec%202023%2019:21:29%20GMT	https://tusharm01.wixsite.com/gadgetjunction/t-v-and-home-cinema	C:/My%20Web%20Sites/wix/tusharm01.wixsite.com/gadgetjunction/t-v-and-home-cinema.html	(from https://tusharm01.wixsite.com/gadgetjunction)
00:51:33	1211486/1211486	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Dec%202023%2019:21:31%20GMT	https://tusharm01.wixsite.com/gadgetjunction/wearable-tech	C:/My%20Web%20Sites/wix/tusharm01.wixsite.com/gadgetjunction/wearable-tech.html	(from https://tusharm01.wixsite.com/gadgetjunction)
00:51:34	3053/3053	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Dec%202023%2019:21:33%20GMT	https://static.wixstatic.com/media/c837a6_f58829a26e594ca3aa72383e19cf39b9~mv2.png/v1/fill/w_50,h_28,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/c837a6_f58829a26e594ca3aa72383e19cf39b9~mv2.png	C:/My%20Web%20Sites/wix/static.wixstatic.com/media/c837a6_f58829a26e594ca3aa72383e19cf39b9_mv2.png/v1/fill/w_50,h_28,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/c837a6_f58829a26e594ca3aa72383e19cf39b9_mv2.png	(from https://tusharm01.wixsite.com/gadgetjunction)
00:51:35	2288/2288	---M--	200	added ('OK')	image/jpeg	date:Fri,%2029%20Dec%202023%2019:21:34%20GMT	https://static.wixstatic.com/media/c22c23_e140bfa8cd6f4cb2ac5ee6e204f64073~mv2.jpg/v1/fill/w_118,h_61,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/c22c23_e140bfa8cd6f4cb2ac5ee6e204f64073~mv2.jpg	C:/My%20Web%20Sites/wix/static.wixstatic.com/media/c22c23_e140bfa8cd6f4cb2ac5ee6e204f64073_mv2.jpg/v1/fill/w_118,h_61,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/c22c23_e140bfa8cd6f4cb2ac5ee6e204f64073_mv2.jpg	(from https://tusharm01.wixsite.com/gadgetjunction)
00:51:35	1294053/1294053	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Dec%202023%2019:21:33%20GMT	https://tusharm01.wixsite.com/gadgetjunction/sale	C:/My%20Web%20Sites/wix/tusharm01.wixsite.com/gadgetjunction/sale.html	(from https://tusharm01.wixsite.com/gadgetjunction)
